city_id,year,age_group,male,female
hkg,2024,0-9,292000,271000 
hkg,2024,10-19,383300,356900 
hkg,2024,20-29,426400,502200 
hkg,2024,30-39,439400,642000 
hkg,2024,40-49,487600,644800 
hkg,2024,50-59,566400,598300 
hkg,2024,60-69,351200,350800 
hkg,2024,70,310700,379200 
sgp,2024,0-9,177700,169200 
sgp,2024,10-19,190000,180300 
sgp,2024,20-29,228200,211600 
sgp,2024,30-39,252700,247700 
sgp,2024,40-49,228200,240600 
sgp,2024,50-59,248900,262800 
sgp,2024,60-69,258800,269000 
sgp,2024,70,208800,261200 
yvr,2021,0-9,24310,22600 
yvr,2021,10-19,25925,24050 
yvr,2021,20-29,53920,56530 
yvr,2021,30-39,63645,62910 
yvr,2021,40-49,42435,44685 
yvr,2021,50-59,43725,45480 
yvr,2021,60-69,35480,38435 
yvr,2021,70,35135,43000 
lon,2024,0-9,560000,535000 
lon,2024,10-19,510000,490000 
lon,2024,20-29,690000,740000 
lon,2024,30-39,780000,850000 
lon,2024,40-49,630000,680000 
lon,2024,50-59,540000,580000 
lon,2024,60-69,380000,420000 
lon,2024,70+,300000,376000 
sfo,2023,0-9,32187,30370 
sfo,2023,10-19,31311,29694 
sfo,2023,20-29,57804,54108 
sfo,2023,30-39,82238,75977 
sfo,2023,40-49,59190,54446 
sfo,2023,50-59,55671,55807 
sfo,2023,60-69,49695,48272 
sfo,2023,70+,47964,44254 
nyc,2021,0-9,507234,486033 
nyc,2021,10-19,441515,429079 
nyc,2021,20-29,592183,636364 
nyc,2021,30-39,657061,674431 
nyc,2021,40-49,491243,531247 
nyc,2021,50-59,482830,535020 
nyc,2021,60-69,403218,480358 
nyc,2021,70,362020,543377 
syd,2024,0-9,336800,318400 
syd,2024,10-19,346800,324000 
syd,2024,20-29,433500,408500 
syd,2024,30-39,439600,444000 
syd,2024,40-49,368500,372900 
syd,2024,50-59,316200,326800 
syd,2024,60-69,255600,275100 
syd,2024,70,267300,323200 
bkk,2023,0-9,169328,160542 
bkk,2023,10-19,225959,214478 
bkk,2023,20-29,344832,351982 
bkk,2023,30-39,382125,451752 
bkk,2023,40-49,402689,473006 
bkk,2023,50-59,398552,468480 
bkk,2023,60-69,310882,373126 
bkk,2023,70,346937,407089 
sel,2024,0-9,321300,305400 
sel,2024,10-19,388200,360100 
sel,2024,20-29,694700,739200 
sel,2024,30-39,743700,754000 
sel,2024,40-49,741000,755700 
sel,2024,50-59,756500,800900 
sel,2024,60-69,632500,711900 
sel,2024,70,399500,500800 
tyo,2025,0-9,4986000,4750000 
tyo,2025,10-19,5668000,5397000 
tyo,2025,20-29,6538000,6125000 
tyo,2025,30-39,7158000,6909000 
tyo,2025,40-49,9243000,9030000 
tyo,2025,50-59,8258000,8218000 
tyo,2025,60-69,7721000,8075000 
tyo,2025,70,11656000,16107000 
