city_id	year	junior_low	junior_median	junior_high	senior_low	senior_median	senior_high
nyc	2025	66000	90000	115000	134000	161500	214000
sfo	2025	75000	95000	190000	130000	198000	366000
lon	2025	53500	70300	125000	119000	154600	280000
sgp	2025	53000	62900	89300	95900	131400	209000
hkg	2025	37000	49000	103000	83200	103000	170000
syd	2025	54100	59900	103000	106000	125100	202000
yvr	2025	60000	94000	122000	105000	138000	217000
sel	2025	36500	47000	57000	71800	95700	153000
tyo	2025	34800	35300	43800	67600	92500	193000
bkk	2025	8900	12500	21000	32800	48100	78900
tpe	2025	26700	37300	63700	45600	61400	110000
