city_id,year,ri
lon,2014,88
syd,2014,76.4
tyo,2014,48.7
sgp,2014,99.8
nyc,2014,100
yvr,2014,51.4
sel,2014,44.7
sfo,2014,95
hkg,2014,108.9
tpe,2014,25.6
bkk,2014,28.7
lon,2015,82.2
syd,2015,68.7
tyo,2015,40.2
sgp,2015,91.6
nyc,2015,100
yvr,2015,49.1
sel,2015,41.5
sfo,2015,96.1
hkg,2015,90.1
tpe,2015,22.2
bkk,2015,26.2
lon,2016,85.5
syd,2016,59.4
tyo,2016,49.6
sgp,2016,73.9
nyc,2016,100
yvr,2016,40.5
sel,2016,47.7
sfo,2016,121.6
hkg,2016,82.6
tpe,2016,18.4
bkk,2016,24
lon,2017,69.9
syd,2017,64.7
tyo,2017,41.9
sgp,2017,70.2
nyc,2017,100
yvr,2017,46.7
sel,2017,37.1
sfo,2017,125.8
hkg,2017,84.1
tpe,2017,21.1
bkk,2017,24.6
lon,2018,76.7
syd,2018,68.4
tyo,2018,37.1
sgp,2018,71.9
nyc,2018,100
yvr,2018,53.5
sel,2018,37.2
sfo,2018,115.4
hkg,2018,79.5
tpe,2018,21.6
bkk,2018,26.2
lon,2019,70
syd,2019,58.4
tyo,2019,37.2
sgp,2019,53.1
nyc,2019,100
yvr,2019,47.1
sel,2019,28.5
sfo,2019,106.1
hkg,2019,76.8
tpe,2019,33.5
bkk,2019,26.3
lon,2020,70
syd,2020,53.2
tyo,2020,38
sgp,2020,63.3
nyc,2020,100
yvr,2020,51.9
sel,2020,30.4
sfo,2020,115.6
hkg,2020,79.6
tpe,2020,19.4
bkk,2020,26.2
lon,2021,72.2
syd,2021,62.7
tyo,2021,42.8
sgp,2021,64.8
nyc,2021,100
yvr,2021,52.1
sel,2021,32.8
sfo,2021,109.3
hkg,2021,74.2
tpe,2021,23.8
bkk,2021,25.6
lon,2022,76.5
syd,2022,58
tyo,2022,42.7
sgp,2022,66.4
nyc,2022,100
yvr,2022,56.5
sel,2022,33.9
sfo,2022,108.4
hkg,2022,74.6
tpe,2022,24.6
bkk,2022,26.5
lon,2023,63.8
syd,2023,53.2
tyo,2023,33.5
sgp,2023,85.3
nyc,2023,100
yvr,2023,51.7
sel,2023,33.9
sfo,2023,92.4
hkg,2023,66.3
tpe,2023,20.6
bkk,2023,22.8
lon,2024,71.6
syd,2024,55.4
tyo,2024,29.3
sgp,2024,71.9
nyc,2024,100
yvr,2024,54.9
sel,2024,29.1
sfo,2024,83.9
hkg,2024,61.4
tpe,2024,20.7
bkk,2024,18.2
